DEBUG: General     , 1654406348014> 10,822,933> LoggerManager.init                  > Initializing...
LOG  : General     , 1654406348076> 10,822,975> cachedir set to "C:\Users\Administrator\Zomboid"
LOG  : General     , 1654406348155> 10,823,058> versionNumber=41.71 demo=false
LOG  : General     , 1654406348155> 10,823,059> svnRevision= date= time=
LOG  : General     , 1654406348389> 10,823,290> unknown option "0"
LOG  : General     , 1654406348389> 10,823,291> server name is "servertest"
LOG  : General     , 1654406348389> 10,823,293> map_t.bin does not exist, cannot determine the server's WorldVersion.  This is ok the first time a server is started.
LOG  : General     , 1654406348389> 10,823,297> Loading networking libraries...
LOG  : General     , 1654406348389> 10,823,298> Loading steam_api64...
LOG  : General     , 1654406348404> 10,823,300> Loading RakNet64...
LOG  : General     , 1654406348404> 10,823,301> Loading ZNetJNI64...
LOG  : General     , 1654406348529> 10,823,430> 1654406348529 znet: ZNet loaded
LOG  : General     , 1654406348529> 10,823,434> 1654406348529 znet: Compiled with SERVER_STEAMAPI == 0
LOG  : General     , 1654406348529> 10,823,435> 1654406348529 znet: Starting with bServer == true
LOG  : General     , 1654406348529> 10,823,437> 1654406348529 znet: SteamAPI initialised successfully
LOG  : General     , 1654406348529> 10,823,438> SteamUtils initialised successfully
LOG  : General     , 1654406350358> 10,825,256> translator: language is EN
LOG  : General     , 1654406350576> 10,825,483> reading C:\Users\Administrator\Zomboid\Server\servertest.ini
LOG  : General     , 1654406350576> 10,825,485> writing C:\Users\Administrator\Zomboid\Server\servertest.ini
LOG  : General     , 1654406350592> 10,825,490> 1654406350592 znet: Java_zombie_core_znet_SteamGameServer_Init
LOG  : General     , 1654406350639> 10,825,543> 1654406350639 znet: SteamGameServer seems to be initialized
LOG  : General     , 1654406350639> 10,825,544> 1654406350639 znet: Java_zombie_core_znet_SteamGameServer_SetProduct
LOG  : General     , 1654406350639> 10,825,547> 1654406350639 znet: Java_zombie_core_znet_SteamGameServer_SetGameDescription
LOG  : General     , 1654406350639> 10,825,549> 1654406350639 znet: Java_zombie_core_znet_SteamGameServer_SetModDir
LOG  : General     , 1654406350654> 10,825,552> 1654406350654 znet: Java_zombie_core_znet_SteamGameServer_SetDedicatedServer
LOG  : General     , 1654406350654> 10,825,553> 1654406350654 znet: Java_zombie_core_znet_SteamGameServer_SetMaxPlayerCount
LOG  : General     , 1654406350654> 10,825,554> 1654406350654 znet: Java_zombie_core_znet_SteamGameServer_SetServerName '[PT-BR] Projeto Brasil RP'
LOG  : General     , 1654406350654> 10,825,555> 1654406350654 znet: Java_zombie_core_znet_SteamGameServer_SetMapName 'Muldraugh, KY'
LOG  : General     , 1654406350654> 10,825,556> 1654406350654 znet: Java_zombie_core_znet_SteamGameServer_SetGameTags ''
LOG  : General     , 1654406350654> 10,825,559> 1654406350654 znet: Java_zombie_core_znet_SteamGameServer_SetKeyValue key='description' value='[PVP/PVE] XP 2x - Bound Journal - Entre no discord para jogar com alguem e conhecer nossa comunidade! https://discord.gg/sZsuR6grP4'
LOG  : General     , 1654406350654> 10,825,562> 1654406350654 znet: key='description:1/2' value='[PVP/PVE] XP 2x - Bound Journal - Entre no discord para jogar com alguem e conhecer nossa comunidade! https://discord.gg/sZsuR6'
